head;relation;tail
actors, producers, and directors;broadmatch;entertainers and performers, sports and related workers
entertainers and performers, sports and related workers;narrowmatch;athletes, coaches, umpires, and related workers
farm and home management educators;broadmatch;other educational instruction and library occupations
museum technicians and conservators;broadmatch;archivists, curators, and museum technicians
social work teachers, postsecondary;broadmatch;law, criminal justice, and social work teachers, postsecondary
secondary school teachers;narrowmatch;secondary school teachers, except special and career/technical education
preschool, elementary, middle, secondary, and special education teachers;narrowmatch;preschool and kindergarten teachers
preschool and kindergarten teachers;broadmatch;preschool, elementary, middle, secondary, and special education teachers
preschool, elementary, middle, secondary, and special education teachers;narrowmatch;elementary and middle school teachers
elementary and middle school teachers;broadmatch;preschool, elementary, middle, secondary, and special education teachers
preschool, elementary, middle, secondary, and special education teachers;narrowmatch;secondary school teachers
secondary school teachers;broadmatch;preschool, elementary, middle, secondary, and special education teachers
preschool, elementary, middle, secondary, and special education teachers;narrowmatch;special education teachers
special education teachers;broadmatch;preschool, elementary, middle, secondary, and special education teachers
preschool and kindergarten teachers;narrowmatch;preschool teachers, except special education
preschool teachers, except special education;broadmatch;preschool and kindergarten teachers
preschool and kindergarten teachers;narrowmatch;kindergarten teachers, except special education
kindergarten teachers, except special education;broadmatch;preschool and kindergarten teachers
elementary and middle school teachers;narrowmatch;elementary school teachers, except special education
elementary school teachers, except special education;broadmatch;elementary and middle school teachers
elementary and middle school teachers;narrowmatch;middle school teachers, except special and career/technical education
middle school teachers, except special and career/technical education;broadmatch;elementary and middle school teachers
elementary and middle school teachers;narrowmatch;career/technical education teachers, middle school
postsecondary teachers, all other;broadmatch;miscellaneous postsecondary teachers
miscellaneous postsecondary teachers;narrowmatch;postsecondary teachers, all other
career/technical education teachers, postsecondary;broadmatch;miscellaneous postsecondary teachers
foreign language and literature teachers, postsecondary;broadmatch;arts, communications, history, and humanities teachers, postsecondary
arts, communications, history, and humanities teachers, postsecondary;narrowmatch;art, drama, and music teachers, postsecondary
art, drama, and music teachers, postsecondary;broadmatch;arts, communications, history, and humanities teachers, postsecondary
arts, communications, history, and humanities teachers, postsecondary;narrowmatch;communications teachers, postsecondary
communications teachers, postsecondary;broadmatch;arts, communications, history, and humanities teachers, postsecondary
arts, communications, history, and humanities teachers, postsecondary;narrowmatch;english language and literature teachers, postsecondary
english language and literature teachers, postsecondary;broadmatch;arts, communications, history, and humanities teachers, postsecondary
arts, communications, history, and humanities teachers, postsecondary;narrowmatch;foreign language and literature teachers, postsecondary
arts, communications, history, and humanities teachers, postsecondary;narrowmatch;history teachers, postsecondary
miscellaneous postsecondary teachers;narrowmatch;career/technical education teachers, postsecondary
history teachers, postsecondary;broadmatch;arts, communications, history, and humanities teachers, postsecondary
arts, communications, history, and humanities teachers, postsecondary;narrowmatch;philosophy and religion teachers, postsecondary
philosophy and religion teachers, postsecondary;broadmatch;arts, communications, history, and humanities teachers, postsecondary
miscellaneous postsecondary teachers;narrowmatch;family and consumer sciences teachers, postsecondary
