head;relation;tail
security guards;broadmatch;security guards and gambling surveillance officers
miscellaneous protective service workers;narrowmatch;crossing guards and flaggers
crossing guards and flaggers;broadmatch;miscellaneous protective service workers
miscellaneous protective service workers;narrowmatch;lifeguards, ski patrol, and other recreational protective service workers
lifeguards, ski patrol, and other recreational protective service workers;broadmatch;miscellaneous protective service workers
police and sheriffâs patrol officers;narrowmatch;customs and border protection officers
transit and railroad police;broadmatch;police officers
police officers;narrowmatch;transit and railroad police
bailiffs, correctional officers, and jailers;narrowmatch;bailiffs
detectives and criminal investigators;broadmatch;law enforcement workers
law enforcement workers;narrowmatch;fish and game wardens
fish and game wardens;broadmatch;law enforcement workers
law enforcement workers;narrowmatch;parking enforcement workers
parking enforcement workers;broadmatch;law enforcement workers
law enforcement workers;narrowmatch;police officers
police officers;broadmatch;law enforcement workers
bailiffs;broadmatch;bailiffs, correctional officers, and jailers
police and sheriffâs patrol officers;broadmatch;police officers
bailiffs, correctional officers, and jailers;narrowmatch;correctional officers and jailers
